Dates,Positives,Overall,Δ +,Δ total,Rate
3/31,586.0,4398.0,91.0,639.0,14.24
3/30,495.0,3759.0,94.0,674.0,13.95
3/29,401.0,3085.0,59.0,273.0,21.61
3/28,342.0,2812.0,38.0,296.0,12.84
3/27,304.0,2516.0,37.0,350.0,10.57
3/26,267.0,2166.0,36.0,308.0,11.69
3/25,231.0,1858.0,48.0,249.0,19.28
3/24,183.0,1609.0,46.0,275.0,16.73
3/23,137.0,1334.0,21.0,105.0,20.0
3/22,116.0,1229.0,18.0,174.0,10.34
3/21,98.0,1055.0,21.0,482.0,4.36
